"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"47003","1.0","interacts with","IT Zertifikat der Phil. Fak (interacts with) Brainstorming","false","interacts with","IT Zertifikat der Phil. Fak (interacts with) Brainstorming"
"47004","1.0","interacts with","IT Zertifikat der Phil. Fak (interacts with) Browsing","false","interacts with","IT Zertifikat der Phil. Fak (interacts with) Browsing"
"47005","1.0","interacts with","IT Zertifikat der Phil. Fak (interacts with) Debugging","false","interacts with","IT Zertifikat der Phil. Fak (interacts with) Debugging"
"47006","1.0","interacts with","IT Zertifikat der Phil. Fak (interacts with) Information Retrieval","false","interacts with","IT Zertifikat der Phil. Fak (interacts with) Information Retrieval"
"47007","1.0","interacts with","IT Zertifikat der Phil. Fak (interacts with) Preservation Metadata ","false","interacts with","IT Zertifikat der Phil. Fak (interacts with) Preservation Metadata "
"47008","1.0","interacts with","IT Zertifikat der Phil. Fak (interacts with) Scanning","false","interacts with","IT Zertifikat der Phil. Fak (interacts with) Scanning"
"47009","1.0","interacts with","IT Zertifikat der Phil. Fak (interacts with) Searching","false","interacts with","IT Zertifikat der Phil. Fak (interacts with) Searching"
"47010","1.0","interacts with","IT Zertifikat der Phil. Fak (interacts with) Versioning","false","interacts with","IT Zertifikat der Phil. Fak (interacts with) Versioning"
"47012","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Brainstorming","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Brainstorming"
"47013","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Browsing","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Browsing"
"47014","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Cluster Analysis ","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Cluster Analysis "
"47015","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Debugging","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Debugging"
"47016","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Distance Measures","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Distance Measures"
"47017","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Encoding","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Encoding"
"47018","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Gamification","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Gamification"
"47019","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Georeferencing ","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Georeferencing "
"47020","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Information Retrieval","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Information Retrieval"
"47021","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Mapping","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Mapping"
"47022","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Named Entity Recognition ","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Named Entity Recognition "
"47023","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Pattern Recognition","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Pattern Recognition"
"47024","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Preservation Metadata ","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Preservation Metadata "
"47025","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Scanning","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Scanning"
"47026","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Searching","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Searching"
"47027","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Versioning","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Versioning"
"47028","1.0","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Text Mining","false","interacts with","Mittelalterstudien mit m̦glicher Schwerpunktdisziplin Digital Humanities (1 Fach/ 2 Fach) (interacts with) Text Mining"
"47030","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Brainstorming","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Brainstorming"
"47031","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Browsing","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Browsing"
"47032","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Cluster Analysis ","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Cluster Analysis "
"47033","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Debugging","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Debugging"
"47034","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Distance Measures","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Distance Measures"
"47035","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Encoding","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Encoding"
"47036","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Gamification","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Gamification"
"47037","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Georeferencing ","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Georeferencing "
"47038","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Mapping","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Mapping"
"47039","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Named Entity Recognition ","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Named Entity Recognition "
"47040","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Pattern Recognition","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Pattern Recognition"
"47041","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Preservation Metadata ","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Preservation Metadata "
"47042","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Scanning","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Scanning"
"47043","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Searching","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Searching"
"47044","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Versioning","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Versioning"
"47045","1.0","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Text Mining","false","interacts with","Informationsverarbeitung (2 Fach) (interacts with) Text Mining"
"47047","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Brainstorming","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Brainstorming"
"47048","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Browsing","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Browsing"
"47049","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Cluster Analysis ","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Cluster Analysis "
"47050","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Debugging","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Debugging"
"47051","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Distance Measures","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Distance Measures"
"47052","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Encoding","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Encoding"
"47053","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Gamification","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Gamification"
"47054","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Georeferencing ","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Georeferencing "
"47055","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Mapping","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Mapping"
"47056","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Named Entity Recognition ","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Named Entity Recognition "
"47057","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Pattern Recognition","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Pattern Recognition"
"47058","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Preservation Metadata ","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Preservation Metadata "
"47059","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Scanning","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Scanning"
"47060","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Searching","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Searching"
"47061","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Versioning","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Versioning"
"47062","1.0","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Text Mining","false","interacts with","Informationsverarbeitung (1 Fach) (interacts with) Text Mining"
"47064","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Browsing","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Browsing"
"47065","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Cluster Analysis ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Cluster Analysis "
"47066","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Collocation Analysis ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Collocation Analysis "
"47067","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Commenting","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Commenting"
"47068","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Concordancing ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Concordancing "
"47069","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Durable Persistent Media ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Durable Persistent Media "
"47070","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Encoding","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Encoding"
"47071","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Gamification","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Gamification"
"47072","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Georeferencing ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Georeferencing "
"47073","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Information Retrieval","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Information Retrieval"
"47074","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Linked Open Data","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Linked Open Data"
"47075","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Machine Learning","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Machine Learning"
"47076","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Mapping","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Mapping"
"47077","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Migration ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Migration "
"47078","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Named Entity Recognition ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Named Entity Recognition "
"47079","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Open Archival Information Systems","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Open Archival Information Systems"
"47080","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Pattern Recognition","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Pattern Recognition"
"47081","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) POS-Tagging","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) POS-Tagging"
"47082","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Preservation Metadata ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Preservation Metadata "
"47083","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Searching","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Searching"
"47084","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Sentiment Analysis ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Sentiment Analysis "
"47085","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Sequence Alignment","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Sequence Alignment"
"47086","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Technology Preservation","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Technology Preservation"
"47087","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Topic Modeling","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Topic Modeling"
"47088","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Versioning","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Versioning"
"47089","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Web Crawling ","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Web Crawling "
"47090","1.0","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Text Mining","false","interacts with","Digital Humanities and Digital Knowledge (DHDK) (interacts with) Text Mining"
"47092","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Cluster Analysis ","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Cluster Analysis "
"47093","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Concordancing ","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Concordancing "
"47094","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Distance Measures","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Distance Measures"
"47095","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Encoding","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Encoding"
"47096","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Georeferencing ","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Georeferencing "
"47097","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Information Retrieval","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Information Retrieval"
"47098","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Linked Open Data","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Linked Open Data"
"47099","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Machine Learning","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Machine Learning"
"47100","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Named Entity Recognition ","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Named Entity Recognition "
"47101","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Pattern Recognition","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Pattern Recognition"
"47102","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) POS-Tagging","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) POS-Tagging"
"47103","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Searching","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Searching"
"47104","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Sequence Alignment","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Sequence Alignment"
"47105","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Topic Modeling","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Topic Modeling"
"47106","1.0","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Text Mining","false","interacts with","Specialisation in Digital Humanities in the Applied Computer Science M.Sc. (interacts with) Text Mining"
"47108","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Browsing","false","interacts with","Master of Science in Digital Humanities (interacts with) Browsing"
"47109","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Cluster Analysis ","false","interacts with","Master of Science in Digital Humanities (interacts with) Cluster Analysis "
"47110","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Encoding","false","interacts with","Master of Science in Digital Humanities (interacts with) Encoding"
"47111","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Georeferencing ","false","interacts with","Master of Science in Digital Humanities (interacts with) Georeferencing "
"47112","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Linked Open Data","false","interacts with","Master of Science in Digital Humanities (interacts with) Linked Open Data"
"47113","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Machine Learning","false","interacts with","Master of Science in Digital Humanities (interacts with) Machine Learning"
"47114","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Mapping","false","interacts with","Master of Science in Digital Humanities (interacts with) Mapping"
"47115","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Open Archival Information Systems","false","interacts with","Master of Science in Digital Humanities (interacts with) Open Archival Information Systems"
"47116","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Pattern Recognition","false","interacts with","Master of Science in Digital Humanities (interacts with) Pattern Recognition"
"47117","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Scanning","false","interacts with","Master of Science in Digital Humanities (interacts with) Scanning"
"47118","1.0","interacts with","Master of Science in Digital Humanities (interacts with) Text Mining","false","interacts with","Master of Science in Digital Humanities (interacts with) Text Mining"
"47120","1.0","interacts with","Digital Humanities Minor (interacts with) Text Mining","false","interacts with","Digital Humanities Minor (interacts with) Text Mining"
"47122","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Durable Persistent Media ","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Durable Persistent Media "
"47123","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Encoding","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Encoding"
"47124","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Gamification","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Gamification"
"47125","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Georeferencing ","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Georeferencing "
"47126","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Linked Open Data","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Linked Open Data"
"47127","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Machine Learning","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Machine Learning"
"47128","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Mapping","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Mapping"
"47129","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Open Archival Information Systems","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Open Archival Information Systems"
"47130","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Photography","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Photography"
"47131","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Preservation Metadata ","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Preservation Metadata "
"47132","1.0","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Searching","false","interacts with","Digital Humanities, interdisciplinary programme (interacts with) Searching"
"47134","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Encoding","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Encoding"
"47135","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Georeferencing ","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Georeferencing "
"47136","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Information Retrieval","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Information Retrieval"
"47137","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Linked Open Data","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Linked Open Data"
"47138","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Named Entity Recognition ","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Named Entity Recognition "
"47139","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Open Archival Information Systems","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Open Archival Information Systems"
"47140","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Preservation Metadata ","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Preservation Metadata "
"47141","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Topic Modeling","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Topic Modeling"
"47142","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Versioning","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Versioning"
"47143","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Web Crawling ","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Web Crawling "
"47144","1.0","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Text Mining","false","interacts with","Masterstudium ""Digitale Geisteswissenschaften"" (Master Programme ""Digital Humanities"") (interacts with) Text Mining"
"47146","1.0","interacts with","Digital Culture and Society1 (interacts with) Migration ","false","interacts with","Digital Culture and Society1 (interacts with) Migration "
"47147","1.0","interacts with","Digital Culture and Society1 (interacts with) Sentiment Analysis ","false","interacts with","Digital Culture and Society1 (interacts with) Sentiment Analysis "
"47148","1.0","interacts with","Digital Humanities1 (interacts with) Encoding","false","interacts with","Digital Humanities1 (interacts with) Encoding"
"47149","1.0","interacts with","Digital Humanities1 (interacts with) Machine Learning","false","interacts with","Digital Humanities1 (interacts with) Machine Learning"
"47150","1.0","interacts with","Digital Humanities1 (interacts with) Text Mining","false","interacts with","Digital Humanities1 (interacts with) Text Mining"
"47151","1.0","interacts with","Digital Humanities1 (interacts with) Encoding","false","interacts with","Digital Humanities1 (interacts with) Encoding"
"47152","1.0","interacts with","Digital Humanities1 (interacts with) Text Mining","false","interacts with","Digital Humanities1 (interacts with) Text Mining"
"47153","1.0","interacts with","Digital Humanities1 (interacts with) Encoding","false","interacts with","Digital Humanities1 (interacts with) Encoding"
"47154","1.0","interacts with","Digital Humanities1 (interacts with) Text Mining","false","interacts with","Digital Humanities1 (interacts with) Text Mining"
"47155","1.0","interacts with","Digital Humanities1 (interacts with) Cluster Analysis ","false","interacts with","Digital Humanities1 (interacts with) Cluster Analysis "
"47156","1.0","interacts with","Digital Humanities1 (interacts with) Distance Measures","false","interacts with","Digital Humanities1 (interacts with) Distance Measures"
"47157","1.0","interacts with","Digital Humanities1 (interacts with) Encoding","false","interacts with","Digital Humanities1 (interacts with) Encoding"
"47158","1.0","interacts with","Digital Humanities1 (interacts with) Machine Learning","false","interacts with","Digital Humanities1 (interacts with) Machine Learning"
